gene	log2FC	score	pvalue	pvalue_adj
VIM	10.077982	105.29827	0.0	0.0
HLA-A	6.958995	101.148384	0.0	0.0
APOE	7.749601	96.141884	0.0	0.0
TMSB10	6.174907	92.53561	0.0	0.0
APOC1	7.7196846	91.906525	0.0	0.0
CST3	7.0017676	91.45877	0.0	0.0
RPLP1	3.6930077	89.55945	0.0	0.0
HLA-B	6.7767725	89.21826	0.0	0.0
RPLP0	5.017253	86.87359	0.0	0.0
RPL12	4.877498	86.818436	0.0	0.0
RPS18	4.566475	85.386665	0.0	0.0
RPL13	3.4452393	84.94569	0.0	0.0
RPL7A	4.500236	84.60008	0.0	0.0
LGALS1	7.3345394	84.0407	0.0	0.0
RPS19	4.2202206	83.797966	0.0	0.0
RPS2	4.4204187	83.67215	0.0	0.0
HLA-C	6.281154	83.33901	0.0	0.0
CD63	5.5048766	83.1819	0.0	0.0
NPC2	5.6924787	82.801216	0.0	0.0
RPL8	4.4370823	81.94827	0.0	0.0
B2M	3.8296483	81.767746	0.0	0.0
RACK1	4.963569	81.148674	0.0	0.0
NME2	5.9686823	80.206726	0.0	0.0
RPS4X	4.807542	79.96806	0.0	0.0
RPL28	3.358428	78.9552	0.0	0.0
GAPDH	3.481169	78.61261	0.0	0.0
RPL29	4.2148376	78.123505	0.0	0.0
RPL11	4.0164504	77.39872	0.0	0.0
IFI30	6.464834	77.12071	0.0	0.0
RPL18A	4.240681	76.57013	0.0	0.0
RPL6	4.778675	76.53075	0.0	0.0
RPL14	4.7990866	75.70615	0.0	0.0
RPS8	3.331617	75.64562	0.0	0.0
RPL19	3.3005426	75.096436	0.0	0.0
EEF1A1	2.334928	74.34407	0.0	0.0
RPS15	3.4024844	73.780136	0.0	0.0
RPL32	3.4846897	73.65281	0.0	0.0
RPL10	2.7884004	73.3179	0.0	0.0
RPS13	3.865584	73.18609	0.0	0.0
TMSB4X	2.6123426	72.70401	0.0	0.0
LDHA	5.784972	72.591736	0.0	0.0
RPS7	4.2571526	72.47892	0.0	0.0
