gene	log2FC	score	pvalue	pvalue_adj
VIM	8.448989	169.37854	0.0	0.0
GAPDH	3.3465912	135.05197	0.0	0.0
LGALS1	5.761081	129.68977	0.0	0.0
MIF	4.85342	125.83178	0.0	0.0
TMSB10	3.860222	123.61242	0.0	0.0
RPLP0	3.6446338	122.17803	0.0	0.0
HLA-A	3.468577	117.18447	0.0	0.0
MT-ATP8	4.0515876	111.800415	0.0	0.0
CD63	3.493658	108.64929	0.0	0.0
MT2A	4.921363	108.524635	0.0	0.0
LDHA	4.370347	107.60762	0.0	0.0
S100A6	4.8393245	107.19579	0.0	0.0
ANXA2	5.3441887	102.83933	0.0	0.0
PKM	4.0504675	102.747215	0.0	0.0
RPL8	2.9424803	100.94444	0.0	0.0
RPS2	2.8807101	100.2613	0.0	0.0
TIMP1	4.5904245	99.16378	0.0	0.0
MT-CO2	2.2614663	98.63404	0.0	0.0
ENO1	3.8375537	98.39602	0.0	0.0
NME2	3.6597388	98.35615	0.0	0.0
IFI30	3.8589213	98.30323	0.0	0.0
RPLP1	2.4828966	97.55191	0.0	0.0
CD163	4.8252873	97.21974	0.0	0.0
NPC2	3.0303624	96.60073	0.0	0.0
S100A10	5.065376	96.39663	0.0	0.0
PPIA	2.7009556	96.26502	0.0	0.0
SERF2	3.061245	96.12646	0.0	0.0
TPI1	3.592243	95.045906	0.0	0.0
PLTP	4.28417	94.8517	0.0	0.0
CST3	3.4225721	93.36186	0.0	0.0
RPL28	2.3619578	92.92184	0.0	0.0
PPIB	3.4065638	92.51213	0.0	0.0
RPS15	2.5216691	91.800804	0.0	0.0
ARL4C	4.5296044	91.13494	0.0	0.0
RPS5	3.0071836	90.09866	0.0	0.0
RPS18	2.7950335	89.34843	0.0	0.0
IFITM3	3.7510066	89.34508	0.0	0.0
MT-CO1	2.0954385	88.70875	0.0	0.0
PFN1	2.7225502	88.275185	0.0	0.0
RPL7A	2.677566	87.80248	0.0	0.0
RACK1	2.885573	87.65125	0.0	0.0
APOE	2.9401283	87.39917	0.0	0.0
MS4A6A	3.7109454	87.15861	0.0	0.0
RPL12	2.7172365	86.938065	0.0	0.0
RPL13	2.3330786	86.78906	0.0	0.0
SSR4	3.4129379	85.91037	0.0	0.0
NDUFA4	3.4175484	85.583374	0.0	0.0
YBX1	3.1529453	85.51424	0.0	0.0
COX6A1	3.2815323	85.43789	0.0	0.0
MTRNR2L12	4.100384	84.71358	0.0	0.0
ANXA5	3.3429585	84.54521	0.0	0.0
ZYX	3.4378252	84.501495	0.0	0.0
ACTG1	2.4892128	83.74312	0.0	0.0
APOC1	3.3012152	83.73617	0.0	0.0
RPS19	2.5724988	83.68804	0.0	0.0
GNG5	3.3801265	83.63399	0.0	0.0
CHCHD2	3.2192144	83.61006	0.0	0.0
SH3BGRL3	3.1105573	82.246925	0.0	0.0
PTMS	3.5254643	81.9828	0.0	0.0
P4HB	3.3443732	81.89978	0.0	0.0
VEGFA	4.824373	81.65563	0.0	0.0
LGALS3	4.1708713	81.58307	0.0	0.0
ANAPC11	3.3243935	81.47947	0.0	0.0
ANXA1	4.1143184	80.73149	0.0	0.0
MT-CO3	2.0054553	80.04034	0.0	0.0
ATP5MC3	3.2121186	79.83673	0.0	0.0
SEC61B	3.244739	79.8105	0.0	0.0
RPS8	2.3067365	79.47819	0.0	0.0
RPL18A	2.5351493	79.32843	0.0	0.0
MYL6	2.4349072	79.30279	0.0	0.0
FABP5	3.7826848	79.29114	0.0	0.0
MT-ATP6	2.1427186	79.24691	0.0	0.0
RPL29	2.49634	79.198204	0.0	0.0
B2M	1.4675627	78.75213	0.0	0.0
HLA-C	2.7035453	78.720955	0.0	0.0
PPP1R14B	3.6697922	78.45537	0.0	0.0
UQCR11	3.1868467	78.358154	0.0	0.0
UQCR10	3.1664193	77.918625	0.0	0.0
CSTB	3.1892407	77.86791	0.0	0.0
COX8A	3.1363678	77.77138	0.0	0.0
NDUFA13	3.1528883	77.63101	0.0	0.0
RPL6	2.7148879	77.55527	0.0	0.0
CALR	3.0726585	77.40916	0.0	0.0
BRI3	3.0602014	77.08174	0.0	0.0
GUK1	3.153117	76.96945	0.0	0.0
SOCS3	3.5991602	76.4205	0.0	0.0
RPL19	2.1734042	76.28874	0.0	0.0
MT-ND4	2.4553971	76.213066	0.0	0.0
ATP6V1F	3.0884912	76.05545	0.0	0.0
COX4I1	2.6651947	75.90387	0.0	0.0
AP2S1	3.1066887	75.817245	0.0	0.0
ATP5MC2	2.7311563	75.725784	0.0	0.0
RPS7	2.5454936	75.647446	0.0	0.0
NDUFB2	3.0915706	75.30032	0.0	0.0
ZNF331	3.3121972	75.23354	0.0	0.0
IFI6	3.789732	75.0275	0.0	0.0
PFDN5	2.8106334	74.683754	0.0	0.0
CFL1	2.193868	74.5729	0.0	0.0
NDUFB11	3.057865	74.563774	0.0	0.0
BHLHE40	3.4341779	74.24884	0.0	0.0
PGK1	3.0105221	74.21611	0.0	0.0
EEF1A1	1.8015426	74.098206	0.0	0.0
RPL15	2.201511	73.648964	0.0	0.0
RPSA	2.7161126	73.54151	0.0	0.0
PPDPF	3.0977492	73.516235	0.0	0.0
RPL36	2.7251067	73.19433	0.0	0.0
RPS13	2.3295705	73.089066	0.0	0.0
COX5A	2.990557	72.99371	0.0	0.0
EEF1G	2.8961923	72.95043	0.0	0.0
CTSD	2.464857	72.873566	0.0	0.0
LDHB	2.989263	72.865326	0.0	0.0
CTSL	2.9364517	72.8133	0.0	0.0
ATP5F1D	2.9677386	72.7786	0.0	0.0
RPL14	2.6073895	72.62806	0.0	0.0
S100A4	3.4813132	72.44645	0.0	0.0
PRDX5	2.9758499	72.346375	0.0	0.0
RPL18	2.2602348	72.06447	0.0	0.0
SRP14	2.8933425	72.038185	0.0	0.0
ALDOA	2.8861494	72.00086	0.0	0.0
SEC61G	3.0836344	71.71456	0.0	0.0
