gene	log2FC	score	pvalue	pvalue_adj
APOE	6.0161295	74.33444	0.0	0.0
HLA-B	5.356078	65.327034	0.0	0.0
CCL4	6.6433535	64.497734	0.0	0.0
APOC1	5.483608	63.04503	0.0	0.0
FTL	1.5620825	62.186474	0.0	0.0
KLF2	5.0311165	58.03109	0.0	0.0
B2M	2.9572103	55.870327	0.0	0.0
HLA-A	4.367228	55.57432	0.0	0.0
HSPA1B	5.0271416	55.299053	0.0	0.0
TMSB4X	1.6208736	54.773754	0.0	0.0
CST3	4.475816	54.73108	0.0	0.0
ACTB	1.0117712	53.95096	0.0	0.0
CCL3	5.36835	53.58149	0.0	0.0
HLA-C	4.474867	53.456425	0.0	0.0
C1QC	4.42503	53.407207	0.0	0.0
UBC	2.380741	53.380795	0.0	0.0
CD83	4.469042	52.8678	0.0	0.0
C1QA	4.3258224	52.103127	0.0	0.0
ZFP36L1	4.4283376	52.042797	0.0	0.0
SAT1	4.307859	51.86032	0.0	0.0
CCL4L2	5.2446694	50.98414	0.0	0.0
NR4A1	4.444803	50.91139	0.0	0.0
TNFAIP3	4.5395017	49.958874	0.0	0.0
SRGN	4.449899	49.83027	0.0	0.0
NFKBIA	3.2888756	49.6688	0.0	0.0
FCER1G	4.205733	49.53961	0.0	0.0
CYBA	4.1258197	49.49415	0.0	0.0
JUN	2.8067632	49.20713	0.0	0.0
ZFP36	3.327942	49.112335	0.0	0.0
C1QB	4.092576	48.970707	0.0	0.0
HSPA1A	4.419249	48.892555	0.0	0.0
TYROBP	4.1169987	48.729446	0.0	0.0
TREM2	4.011697	47.89987	0.0	0.0
RPL12	2.7040362	47.76071	0.0	0.0
CD74	4.8403835	47.42744	0.0	0.0
CD14	4.1315885	47.196697	0.0	0.0
RPS4X	2.8297448	46.98272	0.0	0.0
S100A11	4.060422	46.113506	0.0	0.0
HLA-DRA	4.0851817	45.20211	0.0	0.0
PPP1R15A	3.5348277	45.111916	0.0	0.0
HLA-DRB1	3.8618608	44.94322	0.0	0.0
HSPB1	4.455769	44.93972	0.0	0.0
CCL3L1	4.4379673	44.874847	0.0	0.0
RPLP1	1.5149927	44.571644	0.0	0.0
NPC2	3.3220513	44.517376	0.0	0.0
RPL13	1.3923644	44.381077	0.0	0.0
HLA-DPB1	3.6820662	44.376663	0.0	0.0
RPS19	2.062783	44.321423	0.0	0.0
RPS18	2.2176077	44.19217	0.0	0.0
DUSP1	2.4777942	44.076393	0.0	0.0
RPL11	2.1187592	43.75189	0.0	0.0
HLA-DPA1	3.6821368	43.661655	0.0	0.0
RPS3A	2.2138464	43.652336	0.0	0.0
KLF6	3.636298	43.38934	0.0	0.0
RPL7A	2.2815988	43.200928	0.0	0.0
GPR183	3.691546	42.222363	0.0	0.0
RPL14	2.7430046	42.064655	0.0	0.0
CD69	3.7839675	41.96225	0.0	0.0
RPS24	2.340777	41.898975	0.0	0.0
RPL32	1.7000892	41.847187	0.0	0.0
VSIG4	3.6228468	41.55645	0.0	0.0
REL	3.485582	41.49482	0.0	0.0
RPL29	2.1512341	41.385647	0.0	0.0
CD37	3.5201826	40.948143	0.0	0.0
GADD45B	3.2725415	40.767677	0.0	0.0
RACK1	2.6005278	40.461536	0.0	0.0
HLA-E	3.7039983	40.44272	0.0	0.0
TPT1	1.4052757	40.399506	0.0	0.0
RPS23	1.7350944	40.09521	0.0	0.0
TUBA1B	2.907233	40.049614	0.0	0.0
RPL6	2.5829465	40.04382	0.0	0.0
RPL18A	2.1350515	39.774166	0.0	0.0
NR4A2	3.3031168	39.61507	0.0	0.0
CDKN1A	3.4356647	39.406956	0.0	0.0
ABCA1	3.7177837	39.29519	0.0	0.0
FCGR2A	3.3767798	39.18164	0.0	0.0
HLA-DQB1	3.4142325	39.18045	0.0	0.0
