gene	log2FC	score	pvalue	pvalue_adj	comparison
VIM	8.448989	169.37854	0.0	0.0	Core_vs_Periphery
GAPDH	3.3465912	135.05197	0.0	0.0	Core_vs_Periphery
LGALS1	5.761081	129.68977	0.0	0.0	Core_vs_Periphery
MIF	4.85342	125.83178	0.0	0.0	Core_vs_Periphery
TMSB10	3.860222	123.61242	0.0	0.0	Core_vs_Periphery
RPLP0	3.6446338	122.17803	0.0	0.0	Core_vs_Periphery
HLA-A	3.468577	117.18447	0.0	0.0	Core_vs_Periphery
MT-ATP8	4.0515876	111.800415	0.0	0.0	Core_vs_Periphery
CD63	3.493658	108.64929	0.0	0.0	Core_vs_Periphery
MT2A	4.921363	108.524635	0.0	0.0	Core_vs_Periphery
LDHA	4.370347	107.60762	0.0	0.0	Core_vs_Periphery
S100A6	4.8393245	107.19579	0.0	0.0	Core_vs_Periphery
ANXA2	5.3441887	102.83933	0.0	0.0	Core_vs_Periphery
PKM	4.0504675	102.747215	0.0	0.0	Core_vs_Periphery
RPL8	2.9424803	100.94444	0.0	0.0	Core_vs_Periphery
RPS2	2.8807101	100.2613	0.0	0.0	Core_vs_Periphery
TIMP1	4.5904245	99.16378	0.0	0.0	Core_vs_Periphery
MT-CO2	2.2614663	98.63404	0.0	0.0	Core_vs_Periphery
ENO1	3.8375537	98.39602	0.0	0.0	Core_vs_Periphery
NME2	3.6597388	98.35615	0.0	0.0	Core_vs_Periphery
IFI30	3.8589213	98.30323	0.0	0.0	Core_vs_Periphery
RPLP1	2.4828966	97.55191	0.0	0.0	Core_vs_Periphery
CD163	4.8252873	97.21974	0.0	0.0	Core_vs_Periphery
NPC2	3.0303624	96.60073	0.0	0.0	Core_vs_Periphery
S100A10	5.065376	96.39663	0.0	0.0	Core_vs_Periphery
PPIA	2.7009556	96.26502	0.0	0.0	Core_vs_Periphery
SERF2	3.061245	96.12646	0.0	0.0	Core_vs_Periphery
TPI1	3.592243	95.045906	0.0	0.0	Core_vs_Periphery
PLTP	4.28417	94.8517	0.0	0.0	Core_vs_Periphery
CST3	3.4225721	93.36186	0.0	0.0	Core_vs_Periphery
RPL28	2.3619578	92.92184	0.0	0.0	Core_vs_Periphery
PPIB	3.4065638	92.51213	0.0	0.0	Core_vs_Periphery
RPS15	2.5216691	91.800804	0.0	0.0	Core_vs_Periphery
ARL4C	4.5296044	91.13494	0.0	0.0	Core_vs_Periphery
RPS5	3.0071836	90.09866	0.0	0.0	Core_vs_Periphery
RPS18	2.7950335	89.34843	0.0	0.0	Core_vs_Periphery
IFITM3	3.7510066	89.34508	0.0	0.0	Core_vs_Periphery
MT-CO1	2.0954385	88.70875	0.0	0.0	Core_vs_Periphery
PFN1	2.7225502	88.275185	0.0	0.0	Core_vs_Periphery
RPL7A	2.677566	87.80248	0.0	0.0	Core_vs_Periphery
RACK1	2.885573	87.65125	0.0	0.0	Core_vs_Periphery
APOE	2.9401283	87.39917	0.0	0.0	Core_vs_Periphery
MS4A6A	3.7109454	87.15861	0.0	0.0	Core_vs_Periphery
RPL12	2.7172365	86.938065	0.0	0.0	Core_vs_Periphery
RPL13	2.3330786	86.78906	0.0	0.0	Core_vs_Periphery
SSR4	3.4129379	85.91037	0.0	0.0	Core_vs_Periphery
NDUFA4	3.4175484	85.583374	0.0	0.0	Core_vs_Periphery
YBX1	3.1529453	85.51424	0.0	0.0	Core_vs_Periphery
COX6A1	3.2815323	85.43789	0.0	0.0	Core_vs_Periphery
MTRNR2L12	4.100384	84.71358	0.0	0.0	Core_vs_Periphery
ANXA5	3.3429585	84.54521	0.0	0.0	Core_vs_Periphery
ZYX	3.4378252	84.501495	0.0	0.0	Core_vs_Periphery
ACTG1	2.4892128	83.74312	0.0	0.0	Core_vs_Periphery
APOC1	3.3012152	83.73617	0.0	0.0	Core_vs_Periphery
RPS19	2.5724988	83.68804	0.0	0.0	Core_vs_Periphery
GNG5	3.3801265	83.63399	0.0	0.0	Core_vs_Periphery
CHCHD2	3.2192144	83.61006	0.0	0.0	Core_vs_Periphery
SH3BGRL3	3.1105573	82.246925	0.0	0.0	Core_vs_Periphery
PTMS	3.5254643	81.9828	0.0	0.0	Core_vs_Periphery
P4HB	3.3443732	81.89978	0.0	0.0	Core_vs_Periphery
VEGFA	4.824373	81.65563	0.0	0.0	Core_vs_Periphery
LGALS3	4.1708713	81.58307	0.0	0.0	Core_vs_Periphery
ANAPC11	3.3243935	81.47947	0.0	0.0	Core_vs_Periphery
ANXA1	4.1143184	80.73149	0.0	0.0	Core_vs_Periphery
MT-CO3	2.0054553	80.04034	0.0	0.0	Core_vs_Periphery
ATP5MC3	3.2121186	79.83673	0.0	0.0	Core_vs_Periphery
SEC61B	3.244739	79.8105	0.0	0.0	Core_vs_Periphery
RPS8	2.3067365	79.47819	0.0	0.0	Core_vs_Periphery
RPL18A	2.5351493	79.32843	0.0	0.0	Core_vs_Periphery
MYL6	2.4349072	79.30279	0.0	0.0	Core_vs_Periphery
FABP5	3.7826848	79.29114	0.0	0.0	Core_vs_Periphery
MT-ATP6	2.1427186	79.24691	0.0	0.0	Core_vs_Periphery
RPL29	2.49634	79.198204	0.0	0.0	Core_vs_Periphery
B2M	1.4675627	78.75213	0.0	0.0	Core_vs_Periphery
HLA-C	2.7035453	78.720955	0.0	0.0	Core_vs_Periphery
PPP1R14B	3.6697922	78.45537	0.0	0.0	Core_vs_Periphery
UQCR11	3.1868467	78.358154	0.0	0.0	Core_vs_Periphery
UQCR10	3.1664193	77.918625	0.0	0.0	Core_vs_Periphery
CSTB	3.1892407	77.86791	0.0	0.0	Core_vs_Periphery
COX8A	3.1363678	77.77138	0.0	0.0	Core_vs_Periphery
NDUFA13	3.1528883	77.63101	0.0	0.0	Core_vs_Periphery
RPL6	2.7148879	77.55527	0.0	0.0	Core_vs_Periphery
CALR	3.0726585	77.40916	0.0	0.0	Core_vs_Periphery
BRI3	3.0602014	77.08174	0.0	0.0	Core_vs_Periphery
GUK1	3.153117	76.96945	0.0	0.0	Core_vs_Periphery
SOCS3	3.5991602	76.4205	0.0	0.0	Core_vs_Periphery
RPL19	2.1734042	76.28874	0.0	0.0	Core_vs_Periphery
MT-ND4	2.4553971	76.213066	0.0	0.0	Core_vs_Periphery
ATP6V1F	3.0884912	76.05545	0.0	0.0	Core_vs_Periphery
COX4I1	2.6651947	75.90387	0.0	0.0	Core_vs_Periphery
AP2S1	3.1066887	75.817245	0.0	0.0	Core_vs_Periphery
ATP5MC2	2.7311563	75.725784	0.0	0.0	Core_vs_Periphery
RPS7	2.5454936	75.647446	0.0	0.0	Core_vs_Periphery
NDUFB2	3.0915706	75.30032	0.0	0.0	Core_vs_Periphery
ZNF331	3.3121972	75.23354	0.0	0.0	Core_vs_Periphery
IFI6	3.789732	75.0275	0.0	0.0	Core_vs_Periphery
PFDN5	2.8106334	74.683754	0.0	0.0	Core_vs_Periphery
CFL1	2.193868	74.5729	0.0	0.0	Core_vs_Periphery
NDUFB11	3.057865	74.563774	0.0	0.0	Core_vs_Periphery
BHLHE40	3.4341779	74.24884	0.0	0.0	Core_vs_Periphery
VIM	10.077982	105.29827	0.0	0.0	Core_vs_Healthy
HLA-A	6.958995	101.148384	0.0	0.0	Core_vs_Healthy
APOE	7.749601	96.141884	0.0	0.0	Core_vs_Healthy
TMSB10	6.174907	92.53561	0.0	0.0	Core_vs_Healthy
APOC1	7.7196846	91.906525	0.0	0.0	Core_vs_Healthy
CST3	7.0017676	91.45877	0.0	0.0	Core_vs_Healthy
RPLP1	3.6930077	89.55945	0.0	0.0	Core_vs_Healthy
HLA-B	6.7767725	89.21826	0.0	0.0	Core_vs_Healthy
RPLP0	5.017253	86.87359	0.0	0.0	Core_vs_Healthy
RPL12	4.877498	86.818436	0.0	0.0	Core_vs_Healthy
RPS18	4.566475	85.386665	0.0	0.0	Core_vs_Healthy
RPL13	3.4452393	84.94569	0.0	0.0	Core_vs_Healthy
RPL7A	4.500236	84.60008	0.0	0.0	Core_vs_Healthy
LGALS1	7.3345394	84.0407	0.0	0.0	Core_vs_Healthy
RPS19	4.2202206	83.797966	0.0	0.0	Core_vs_Healthy
RPS2	4.4204187	83.67215	0.0	0.0	Core_vs_Healthy
HLA-C	6.281154	83.33901	0.0	0.0	Core_vs_Healthy
CD63	5.5048766	83.1819	0.0	0.0	Core_vs_Healthy
NPC2	5.6924787	82.801216	0.0	0.0	Core_vs_Healthy
