rank	gene_A	gene_B	collapse_score	C_A	C_B	bliss_synergy	loewe_synergy
1	S100A11	S100A6	0.005211	0.003971	0.003374	-0.002121	0.001539
2	S100A6	MT-ATP6	0.004045	0.003374	0.003340	-0.002658	0.000687
3	MT-CO3	S100A11	0.007483	0.009676	0.003971	-0.006125	0.000660
4	S100A11	MT-ATP6	0.000461	0.003971	0.003340	-0.006836	-0.003194
5	S100A8	S100A6	0.004806	0.008649	0.003374	-0.007188	-0.001205
6	S100A8	S100A11	0.004818	0.008649	0.003971	-0.007768	-0.001492
7	MT-CO3	MT-ATP6	0.005202	0.009676	0.003340	-0.007782	-0.001306
8	MT-CO3	S100A6	0.004666	0.009676	0.003374	-0.008351	-0.001859
9	CCL3L1	MT-ATP6	0.004243	0.010853	0.003340	-0.009914	-0.002853
10	S100A8	MT-ATP6	0.001966	0.008649	0.003340	-0.009994	-0.004028
11	CCL3L1	S100A11	0.002723	0.010853	0.003971	-0.012058	-0.004689
12	CCL3L1	S100A6	0.000320	0.010853	0.003374	-0.013871	-0.006794
13	MT-CO3	S100A8	0.004013	0.009676	0.008649	-0.014228	-0.005150
14	CCL3L1	S100A8	0.000875	0.010853	0.008649	-0.018533	-0.008876
15	CCL3L1	MT-CO3	0.000000	0.010853	0.009676	-0.020424	-0.010264
16	MT-CO2	S100A6	0.004659	0.028233	0.003374	-0.026854	-0.011145
17	MT-CO2	MT-ATP6	0.004442	0.028233	0.003340	-0.027037	-0.011345
18	MT-CO2	S100A11	0.004136	0.028233	0.003971	-0.027956	-0.011966
19	MT-CO2	CCL3L1	0.005586	0.028233	0.010853	-0.033193	-0.013957
20	MT-CO2	S100A8	0.003232	0.028233	0.008649	-0.033406	-0.015209
21	MT-CO2	MT-CO3	0.000000	0.028233	0.009676	-0.037636	-0.018955
