rank	gene_A	gene_B	tumor_collapse	healthy_collapse	healthy_collapse_raw	therapeutic_index	bliss_synergy	loewe_synergy
1	CCL3L1	S100A8	0.001359	0.000000	0.000000	0.44	-0.018533	-0.008876
2	S100A11	S100A6	0.000000	0.000000	0.000000	0.00	-0.002121	0.001539
3	MT-CO3	S100A11	0.000000	0.000000	0.000000	0.00	-0.006125	0.000660
4	S100A11	MT-ATP6	0.000000	0.000492	0.000492	0.00	-0.006836	-0.003194
5	S100A8	S100A11	0.000253	0.000641	0.000641	0.00	-0.007768	-0.001492
6	MT-CO3	MT-ATP6	0.000094	0.000959	0.000959	0.00	-0.007782	-0.001306
7	MT-CO3	S100A6	0.000000	0.000000	0.000000	0.00	-0.008351	-0.001859
8	CCL3L1	MT-ATP6	0.000833	0.000000	0.000000	0.00	-0.009914	-0.002853
9	CCL3L1	S100A11	0.000000	0.000000	0.000000	0.00	-0.012058	-0.004689
10	CCL3L1	S100A6	0.000606	0.000000	0.000000	0.00	-0.013871	-0.006794
11	CCL3L1	MT-CO3	0.000000	0.000000	0.000000	0.00	-0.020424	-0.010264
12	MT-CO2	S100A6	0.000000	0.000315	0.000315	0.00	-0.026854	-0.011145
13	MT-CO2	S100A11	0.000000	0.000000	0.000000	0.00	-0.027956	-0.011966
14	MT-CO2	CCL3L1	0.000000	0.000000	0.000000	0.00	-0.033193	-0.013957
15	MT-CO2	MT-CO3	0.000000	0.000000	0.000000	0.00	-0.037636	-0.018955
16	MT-CO3	S100A8	0.000648	0.001033	0.001033	-0.05	-0.014228	-0.005150
17	MT-CO2	MT-ATP6	0.000000	0.001121	0.001121	-0.16	-0.027037	-0.011345
18	MT-CO2	S100A8	0.000000	0.001302	0.001302	-0.38	-0.033406	-0.015209
19	S100A8	S100A6	0.001468	0.002148	0.002148	-0.55	-0.007188	-0.001205
20	S100A8	MT-ATP6	0.001625	0.003127	0.003127	-0.94	-0.009994	-0.004028
21	S100A6	MT-ATP6	0.000930	0.001971	0.001971	-0.98	-0.002658	0.000687
