edge	mean_te	std_te	ci_lower	ci_upper	significant
HSPA1A->CCL3L1	0.000691	0.000777	0.000000	0.002916	False
HSPA1A->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->IFITM2	0.000535	0.001298	0.000000	0.005054	False
HSPA1A->CXCL8	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->S100A11	0.004170	0.002811	0.000130	0.010189	True
HSPA1A->CST3	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->FCER1G	0.000432	0.001118	0.000000	0.003798	False
HSPA1A->S100A8	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->CD69	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->SMAP2	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->SLC25A37	0.000457	0.000482	0.000000	0.001980	False
HSPA1A->ATP5F1E	0.000411	0.000727	0.000000	0.002331	False
HSPA1A->SOD2	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->MYL6	0.000556	0.001339	0.000000	0.005026	False
HSPA1A->TXNIP	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->H3F3A	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->S100A9	0.000000	0.000000	0.000000	0.000000	False
HSPA1A->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->IFITM2	0.001094	0.001014	0.000000	0.003192	False
CCL3L1->CXCL8	0.000269	0.000377	0.000000	0.001113	False
CCL3L1->S100A11	0.004411	0.002622	0.000826	0.010323	True
CCL3L1->CST3	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->FCER1G	0.001106	0.001655	0.000000	0.004879	False
CCL3L1->S100A8	0.000467	0.000653	0.000000	0.002218	False
CCL3L1->CD69	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->SMAP2	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->SLC25A37	0.000515	0.000596	0.000008	0.002020	True
CCL3L1->ATP5F1E	0.001417	0.001585	0.000000	0.004699	False
CCL3L1->SOD2	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->MYL6	0.001054	0.001574	0.000000	0.004642	False
CCL3L1->TXNIP	0.000603	0.000989	0.000000	0.003033	False
CCL3L1->H3F3A	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->S100A9	0.000000	0.000000	0.000000	0.000000	False
CCL3L1->ARHGDIB	0.000005	0.000033	0.000000	0.000000	False
HSPA1B->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->CCL3L1	0.000868	0.000833	0.000000	0.003231	False
HSPA1B->IFITM2	0.000021	0.000112	0.000000	0.000215	False
HSPA1B->CXCL8	0.000005	0.000023	0.000000	0.000089	False
HSPA1B->S100A11	0.003304	0.002504	0.000000	0.008928	False
HSPA1B->CST3	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->FCER1G	0.000041	0.000284	0.000000	0.000000	False
HSPA1B->S100A8	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->CD69	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->SMAP2	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->SLC25A37	0.000245	0.000415	0.000000	0.001598	False
HSPA1B->ATP5F1E	0.000025	0.000173	0.000000	0.000000	False
HSPA1B->SOD2	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->MYL6	0.000148	0.000663	0.000000	0.001770	False
HSPA1B->TXNIP	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->H3F3A	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->S100A9	0.000000	0.000000	0.000000	0.000000	False
HSPA1B->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
IFITM2->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
IFITM2->CCL3L1	0.000801	0.000720	0.000043	0.002646	True
IFITM2->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
IFITM2->CXCL8	0.000204	0.000336	0.000000	0.001184	False
IFITM2->S100A11	0.004034	0.002556	0.000294	0.009546	True
IFITM2->CST3	0.000000	0.000000	0.000000	0.000000	False
IFITM2->FCER1G	0.001204	0.001750	0.000000	0.004849	False
IFITM2->S100A8	0.000317	0.000490	0.000000	0.001427	False
IFITM2->CD69	0.000000	0.000000	0.000000	0.000000	False
IFITM2->SMAP2	0.000000	0.000000	0.000000	0.000000	False
IFITM2->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
IFITM2->SLC25A37	0.000691	0.000606	0.000015	0.002214	True
IFITM2->ATP5F1E	0.001192	0.001599	0.000000	0.005618	False
IFITM2->SOD2	0.000000	0.000000	0.000000	0.000000	False
IFITM2->MYL6	0.000981	0.001622	0.000000	0.004541	False
IFITM2->TXNIP	0.000925	0.001027	0.000000	0.002992	False
IFITM2->H3F3A	0.000000	0.000000	0.000000	0.000000	False
IFITM2->S100A9	0.000000	0.000000	0.000000	0.000000	False
IFITM2->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
CXCL8->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
CXCL8->CCL3L1	0.001069	0.000776	0.000029	0.002971	True
