hour	healthy	periphery	core	necrotic	front_radius	proliferation	transition	necrosis
0.0	196467.0	63.0	113.0	0.0	8.0	3.0	0.0	0.0
1.0	196285.0	247.0	114.0	0.0	11.704699516296387	3.0	182.0	0.0
2.0	196017.0	525.0	114.0	0.0	16.155494689941406	10.0	268.0	0.0
3.0	195642.0	915.0	114.0	0.0	20.39607810974121	15.0	375.0	0.0
4.0	195151.0	1442.0	114.0	0.0	25.317977905273438	36.0	491.0	0.0
5.0	194527.0	2111.0	115.0	0.0	30.08321762084961	46.0	624.0	0.0
6.0	193748.0	2959.0	115.0	0.0	35.0142822265625	69.0	779.0	0.0
7.0	192887.0	3926.0	115.0	0.0	40.04996871948242	106.0	861.0	0.0
8.0	191868.0	5072.0	115.0	0.0	45.17742919921875	127.0	1019.0	0.0
9.0	190696.0	6396.0	115.0	0.0	50.32891845703125	152.0	1172.0	0.0
10.0	189403.0	7879.0	115.0	0.0	55.60575485229492	190.0	1293.0	0.0
11.0	187992.0	9495.0	115.0	0.0	60.835845947265625	205.0	1411.0	0.0
12.0	186446.0	11315.0	115.0	0.0	66.06814575195312	274.0	1546.0	0.0
13.0	184728.0	13320.0	115.0	0.0	71.47027587890625	287.0	1718.0	0.0
14.0	182903.0	15488.0	115.0	0.0	76.92203521728516	343.0	1825.0	0.0
15.0	180916.0	17854.0	115.0	0.0	82.2800064086914	379.0	1987.0	0.0
16.0	178777.0	20417.0	115.0	0.0	87.55569458007812	424.0	2139.0	0.0
17.0	176515.0	23142.0	115.0	0.0	93.14505004882812	463.0	2262.0	0.0
18.0	174127.0	26029.0	115.0	0.0	98.31072998046875	499.0	2388.0	0.0
19.0	171559.0	29168.0	115.0	0.0	103.83159637451172	571.0	2568.0	0.0
20.0	168844.0	32502.0	115.0	0.0	109.2748794555664	619.0	2715.0	0.0
21.0	166011.0	35984.0	115.0	0.0	114.73883056640625	649.0	2833.0	0.0
22.0	163064.0	39647.0	115.0	0.0	119.95415496826172	716.0	2947.0	0.0
23.0	159919.0	43521.0	115.0	0.0	125.39936065673828	729.0	3145.0	0.0
24.0	156649.0	47526.0	115.0	0.0	130.91983032226562	735.0	3270.0	0.0
25.0	153211.0	51838.0	115.0	0.0	136.3084716796875	874.0	3438.0	0.0
26.0	149625.0	56235.0	115.0	0.0	141.6615753173828	811.0	3586.0	0.0
27.0	145914.0	60855.0	115.0	0.0	147.25827026367188	909.0	3711.0	0.0
28.0	141984.0	65758.0	115.0	0.0	152.77761840820312	973.0	3930.0	0.0
29.0	138039.0	70658.0	115.0	0.0	158.24032592773438	955.0	3945.0	0.0
30.0	133839.0	75918.0	115.0	0.0	163.78338623046875	1060.0	4200.0	0.0
31.0	129523.0	81331.0	115.0	0.0	169.42550659179688	1097.0	4316.0	0.0
32.0	125088.0	86916.0	115.0	0.0	174.7340850830078	1150.0	4435.0	0.0
33.0	120550.0	92645.0	115.0	0.0	180.22763061523438	1191.0	4538.0	0.0
34.0	115886.0	98552.0	115.0	0.0	185.6905975341797	1243.0	4664.0	0.0
35.0	111040.0	104677.0	115.0	0.0	191.26943969726562	1279.0	4846.0	0.0
36.0	106016.0	111017.0	115.0	0.0	196.72569274902344	1316.0	5024.0	0.0
37.0	100840.0	117561.0	115.0	0.0	202.3116455078125	1368.0	5176.0	0.0
38.0	95514.0	124356.0	115.0	0.0	207.7618865966797	1469.0	5326.0	0.0
39.0	90091.0	131253.0	115.0	0.0	213.24398803710938	1474.0	5423.0	0.0
40.0	84497.0	138426.0	115.0	0.0	218.6343994140625	1579.0	5594.0	0.0
41.0	78686.0	145837.0	115.0	0.0	224.2008056640625	1600.0	5811.0	0.0
42.0	72797.0	153326.0	115.0	0.0	229.73245239257812	1600.0	5889.0	0.0
43.0	66758.0	161015.0	115.0	0.0	235.34230041503906	1650.0	6039.0	0.0
44.0	60590.0	168943.0	115.0	0.0	240.84226989746094	1760.0	6168.0	0.0
45.0	54117.0	177170.0	115.0	0.0	246.33717346191406	1754.0	6473.0	0.0
46.0	47744.0	185357.0	115.0	0.0	251.8571014404297	1814.0	6373.0	0.0
47.0	41715.0	193265.0	115.0	0.0	257.3033142089844	1879.0	6029.0	0.0
48.0	36576.0	200364.0	115.0	0.0	262.88018798828125	1960.0	5139.0	0.0
49.0	32019.0	206825.0	115.0	0.0	268.36541748046875	1904.0	4557.0	0.0
50.0	28022.0	212616.0	115.0	0.0	273.9288330078125	1794.0	3997.0	0.0
51.0	24405.0	218081.0	115.0	0.0	279.5514221191406	1848.0	3617.0	0.0
52.0	21201.0	222971.0	115.0	0.0	284.8876953125	1686.0	3204.0	0.0
53.0	18236.0	227572.0	115.0	0.0	290.423828125	1636.0	2965.0	0.0
54.0	15530.0	231810.0	115.0	0.0	296.082763671875	1532.0	2706.0	0.0
55.0	13148.0	235729.0	115.0	0.0	301.6571044921875	1537.0	2382.0	0.0
