rank	gene_id	gene_name	out_degree	in_degree	total_degree	n_targets	downstream_targets
1	38	APOD	46	5	51	46	CCL3L1,IFITM2,CXCL8,S100A11,FCER1G,S100A8,CD69,SMAP2,SLC25A37,S100A9,ARHGDIB,FPR1,CSF3R,SPI1,GAPDH,S100B,LCP1,PLEK,TALDO1,C5AR1,GMFG,MT3,EVI2B,BCL2A1,LYN,LST1,IFITM3,GPSM3,MTRNR2L12,LRRFIP1,PLAUR,NCF1,EFHD2,WAS,TNFRSF1B,SERPINA1,BASP1,S100A6,ZYX,PILRA,ICAM1,HCK,MT2A,CSK,PPP1R18,SIPA1
2	28	S100B	45	6	51	45	CCL3L1,IFITM2,CXCL8,S100A11,FCER1G,S100A8,CD69,SMAP2,SLC25A37,S100A9,ARHGDIB,FPR1,CSF3R,SPI1,GAPDH,LCP1,PLEK,C5AR1,MT-CO2,GMFG,MT3,EVI2B,BCL2A1,LYN,LST1,IFITM3,GPSM3,MTRNR2L12,LRRFIP1,PLAUR,NCF1,EFHD2,WAS,TNFRSF1B,SERPINA1,BASP1,S100A6,ZYX,PILRA,ICAM1,HCK,MT2A,CSK,PPP1R18,SIPA1
3	40	MT3	40	5	45	40	IFITM2,CXCL8,S100A11,FCER1G,S100A8,CD69,SMAP2,SLC25A37,S100A9,ARHGDIB,FPR1,CSF3R,SPI1,S100B,LCP1,PLEK,C5AR1,APOD,GMFG,EVI2B,BCL2A1,LYN,LST1,IFITM3,GPSM3,LRRFIP1,PLAUR,NCF1,WAS,TNFRSF1B,SERPINA1,BASP1,S100A6,PILRA,ICAM1,HCK,MT2A,CSK,PPP1R18,SIPA1
4	8	S100A8	26	3	29	26	HSPA1A,CCL3L1,HSPA1B,IFITM2,FCER1G,CD69,SPI1,GAPDH,MT-ND4L,S100B,MT-ATP6,MT-CO2,MT-CO3,NAMPT,APOD,MT3,LYN,LST1,MTRNR2L12,MDM2,TNFRSF1B,S100A6,PILRA,ICAM1,MT2A,SIPA1
5	18	S100A9	23	4	27	23	HSPA1A,CCL3L1,HSPA1B,IFITM2,FCER1G,CD69,GAPDH,MT-ND4L,S100B,MT-ATP6,MT-CO2,MT-CO3,NAMPT,APOD,MT3,LYN,LST1,MTRNR2L12,S100A6,PILRA,ICAM1,MT2A,SIPA1
6	7	FCER1G	21	9	30	21	IFITM2,CXCL8,S100A11,CD69,SMAP2,ARHGDIB,FPR1,CSF3R,SPI1,PLEK,C5AR1,EVI2B,BCL2A1,LYN,LST1,TNFRSF1B,SERPINA1,BASP1,PILRA,ICAM1,HCK
7	3	IFITM2	20	27	47	20	HSPA1A,CCL3L1,HSPA1B,FCER1G,CD69,ARHGDIB,SPI1,GAPDH,S100B,NAMPT,APOD,MT3,LYN,LST1,MTRNR2L12,TNFRSF1B,S100A6,PILRA,ICAM1,MT2A
8	1	CCL3L1	17	5	22	17	IFITM2,CXCL8,S100A11,FCER1G,CD69,ARHGDIB,FPR1,CSF3R,SPI1,PLEK,C5AR1,LYN,LST1,TNFRSF1B,PILRA,ICAM1,HCK
9	21	CSF3R	16	8	24	16	IFITM2,S100A11,FCER1G,CD69,ARHGDIB,FPR1,SPI1,PLEK,C5AR1,EVI2B,LYN,LST1,TNFRSF1B,PILRA,ICAM1,HCK
10	20	FPR1	14	13	27	14	IFITM2,CXCL8,CD69,ARHGDIB,CSF3R,SPI1,PLEK,C5AR1,BCL2A1,LYN,LST1,TNFRSF1B,PILRA,ICAM1
