gene	importance
VIM	0.019757151419881228
HSPA1B	0.007969563417026834
MTRNR2L12	0.007283687929972864
S100A6	0.006969818922360563
HSPA1A	0.006933973815803614
CST3	0.005998452574653524
CD163	0.00586682897359835
MT3	0.005419439753138525
SMAP2	0.004909880122256193
GAPDH	0.004643111528588474
S100A11	0.004627835404400414
PTPRZ1	0.0045590046893645144
CPB2-AS1	0.004310192691592179
FCER1G	0.00413972312054259
CCL3L1	0.00394043189738806
MT-CO2	0.0038471310689425376
AL034397.3	0.003534759371585308
SAMD4B	0.0035022963500256307
SLC25A37	0.003495814737385547
MT-ATP6	0.0034526238037204276
MT-CO3	0.003448935985238336
APOD	0.0034488671968816945
CHI3L1	0.0033952169647186413
ANXA1	0.003342740227922262
TIMP1	0.003340402051063178
MT2A	0.0032702735003210213
CLEC2B	0.0032589899302473083
CD69	0.0032225665907123563
SOD2	0.003144755344135668
S100B	0.0031003180917170284
MT-ND4L	0.0030572407873890096
CLU	0.0029211690841561087
NAMPT	0.002684717842441385
S100A4	0.0026475406013379142
GFAP	0.002640021999530262
GNLY	0.0025015087891269885
KLRD1	0.0024896102201194636
CSF3R	0.0024816890890273107
S100A9	0.002480347755478259
RASSF2	0.0024431527198161655
BCL2A1	0.002416733551946802
SH3BGRL3	0.0024146365486175966
FCGBP	0.0023745036756906315
SLC44A2	0.0023247545610724234
ICAM1	0.0023001812919956326
PRKCZ	0.002281961314215141
MYL6	0.002273259400041693
TXNIP	0.00217576939671899
MEGF9	0.002169102751058681
KCNJ2	0.002163466771563189
SPARCL1	0.0021382846389533913
PLAUR	0.0021246796395171393
ATP5F1E	0.002100512649573695
ARHGDIB	0.0020500309154680594
IFITM2	0.002031028145443901
TOB1	0.002022833853059316
PKM	0.002013347582586711
LCP1	0.002002632991808733
TFEB	0.001998222394318049
IFI6	0.00199663013290348
IFITM3	0.001989121252452438
H3F3A	0.0019194270994218707
ITPK1	0.0019089051290804985
CXCL8	0.0018909699391011264
PADI4	0.001865229828501067
LSP1	0.0018300292783360057
NDE1	0.0018211225306854436
GJB6	0.0017843113050284305
SHC4	0.0017589871352970312
SCAF11	0.001703710297494361
TSPO	0.0016746150115132534
RGS2	0.0016533093235090533
S100A8	0.0016473751918922009
FPR1	0.0016313389146822574
YPEL3	0.0016201486410342331
FCN1	0.001611248895917585
AL137139.2	0.0016101264364652501
IQGAP1	0.001609102333095121
HIST1H2AC	0.0016080595517109668
LAMTOR4	0.0015983850606552693
TAGLN2	0.001594224997348643
IGFBP5	0.0015848060307265546
MYOCOS	0.0015832242782272941
TALDO1	0.0015821472582211154
S100A12	0.0015695322104193115
AC011446.2	0.0015548820160392132
ZYX	0.0015296612546397495
SPI1	0.0015150340333494733
LITAF	0.001513884862466675
CD44	0.0015025373401742034
PRODH	0.001493218056268466
ANP32A	0.0014922517207192126
PLEK	0.0014811916355222511
GMFG	0.0014712344857264231
NEFM	0.0014622120167311372
C5AR1	0.0014306023138055438
EVI2B	0.0014177181585417606
RAB7A	0.0013998985768973
ZNF106	0.0013969745875451241
PSME1	0.0013873411204361988
WIF1	0.001375835013921834
FOXO3	0.001375089281305133
SERPINB1	0.0013741890880280816
SIPA1	0.0013650471516680875
AKIRIN1	0.0013649335812790575
HIST1H2BC	0.0013613027217924058
GRK2	0.001356836108774554
SDCBP	0.0013440405817796508
MAST3	0.001340933950375259
SERPINA1	0.0013388301284491752
SNAP23	0.0013346192051784584
BASP1	0.0013340125317173961
SH3BP5	0.0013251022538559067
MYH9	0.0013155023841373605
REPS2	0.0013058895262741104
MDM2	0.001291689906531807
JAK1	0.0012913704086043374
PAFAH1B2	0.0012889434560276437
GPSM3	0.0012830876025094538
UBE2B	0.0012774664983723329
PRR13	0.0012750612495648693
TKT	0.0012696116356061644
BCL6	0.001262063001392888
EP300	0.0012438935375597398
LST1	0.001243302021129177
LYZ	0.0012383395493779001
PSMB9	0.0012370271329825346
SEC61G	0.0012341591390768716
PSMB3	0.0012328159045335975
FGL1	0.0012226549193691482
GNG10	0.0012197184882083685
PHACTR1	0.0012062029075120247
TXN	0.0012004610752253538
GLT1D1	0.001199579636551351
LYN	0.001192228528300798
FABP7	0.0011853014516697321
ACAP2	0.0011842051264658142
PHOSPHO1	0.0011807993376692202
ADGRE5	0.0011798637761838522
MOSPD2	0.0011767851541619582
BIN2	0.0011761694283467647
CDA	0.0011732210035301153
EFHD2	0.0011729418770037787
C4orf3	0.0011712528139043003
CSK	0.00117047092984651
JPT1	0.0011668318333104028
CFLAR	0.001166509575696758
PTEN	0.0011660314332819354
LRRFIP1	0.0011638007992071388
NDUFA1	0.0011627342584864036
RNF149	0.001159777169015174
SPCS3	0.0011596231346534054
DAPK2	0.0011564245487847037
PCBP1-AS1	0.0011541135392384718
NCF1	0.0011490856399035457
GCA	0.0011449367992394579
LINC02473	0.001144696066365791
ADAMTS1	0.0011435405231255494
VMP1	0.0011426372252098158
KDM6B	0.0011380649813307112
SH3GLB1	0.0011365697603283242
TYMP	0.001134495287375947
AL133415.1	0.0011289356947260295
STX11	0.0011277355261096152
CPD	0.0011231451525933998
TNFRSF1B	0.0011148639173003843
YPEL5	0.0011144953879236679
PPM1A	0.0011136152725889842
WAS	0.0011115797084694172
AL354936.1	0.0011092837608625288
KIF6	0.0011088084530007007
NOP10	0.0011062259885189292
PILRA	0.0011059430685054915
HCK	0.0010839810562899162
MAN2A2	0.0010760284390406046
PTPRJ	0.0010725455968427498
FKBP1A	0.001068747232962836
CPNE2	0.0010679888546547462
AZIN1-AS1	0.0010619941843942036
S100P	0.001061865009400348
OS9	0.00105227757012319
THSD4	0.0010517252985064245
EMP3	0.0010375161342530152
UBALD2	0.0010317051285713222
TLR4	0.0010275373385216049
CHMP2A	0.0010272806426262372
TRAPPC5	0.0010266240871894248
AC018755.5	0.001025245985858641
UBE2R2	0.0010228014337847302
PPP1R18	0.0010205491907987509
TRIM22	0.0010203518499796427
SLK	0.0010194397142052965
UBE2I	0.0010154461881598084
G0S2	0.0010115720609010007
CFP	0.0010074875722434389
PGLS	0.0010068624152217718
AL591043.2	0.0010041941573028022
ADM	0.0009951186663282358
ANXA11	0.0009947238554926603
USP32	0.000994100168818613
PSMD4	0.000991966535671928
MNDA	0.0009883662006070246
SMCHD1	0.0009830085087658166
AC087190.1	0.0009816206672971415
ATP6V0D1	0.000978118736152895
MSL1	0.0009750812324113029
AC084871.1	0.0009731974831504204
FOSL2	0.0009728591972514073
HSPA6	0.0009714232918236736
PHF20L1	0.0009607269427352381
STK17A	0.0009572009556653965
ESAM	0.0009514051109963842
ACSS2	0.0009499811853370375
ATG16L2	0.0009493618755887785
TAPBP	0.0009493417755586669
KLHL2	0.000938389167999468
AL031846.2	0.0009367617737524501
UBQLN1	0.0009348712585352797
