class	rank	gene	mean_attention
Core	1	GFAP	0.016596127301454544
Core	2	CLU	0.015238928608596325
Core	3	CD163	0.014501670375466347
Core	4	MTRNR2L12	0.013749335892498493
Core	5	CLEC2B	0.01023799553513527
Core	6	SERPINA3	0.010210948064923286
Core	7	PTPRZ1	0.010060302913188934
Core	8	FCGBP	0.008975794538855553
Core	9	FCGR3B	0.008656186982989311
Core	10	HSPA1B	0.008372309617698193
Core	11	AL034397.3	0.008316723629832268
Core	12	IFI6	0.00788502674549818
Core	13	GNLY	0.007820160128176212
Core	14	IL1RN	0.007519817911088467
Core	15	SAMD4B	0.00673425430431962
Core	16	FOLR3	0.006565698888152838
Core	17	AC011446.2	0.006225788965821266
Core	18	AC004817.3	0.006176022347062826
Core	19	IGFBP5	0.006084783002734184
Core	20	LSP1	0.006033845711499453
Core	21	HSPA1A	0.006002428941428661
Core	22	PSMB9	0.005919675808399916
Core	23	TIMP1	0.005878590978682041
Core	24	CHI3L1	0.005794439930468798
Core	25	SERPINA1	0.005664999131113291
Core	26	MMP19	0.0056204418651759624
Core	27	SHC4	0.005451128352433443
Core	28	EMP1	0.005345114041119814
Core	29	ZFAND2A	0.0053054471500217915
Core	30	TNFSF13B	0.005246273707598448
Core	31	CCL2	0.005107620730996132
Core	32	CST3	0.005040197167545557
Core	33	PAFAH1B3	0.005012699402868748
Core	34	AC005392.2	0.004989165347069502
Core	35	TRIM58	0.004945710301399231
Core	36	BPGM	0.0046610403805971146
Core	37	PCBP1-AS1	0.004594419151544571
Core	38	ANXA1	0.0045695179142057896
Core	39	KCNJ2	0.0043151346035301685
Core	40	BCL2A1	0.004296751692891121
Core	41	FOSL2	0.004251527599990368
Core	42	TAP1	0.004178236238658428
Core	43	NBPF26	0.0041387430392205715
Core	44	MT-CO2	0.004058641381561756
Core	45	ICAM1	0.0040577249601483345
Core	46	PSME1	0.004056631121784449
Core	47	AC008875.3	0.004013878293335438
Core	48	ADNP	0.003915160428732634
Core	49	FGL1	0.003826441476121545
Core	50	HIST3H2BB	0.003787810215726495
Core	51	IFIT3	0.00374736450612545
Core	52	SLC35F5	0.0036726638209074736
Core	53	GCLM	0.0035880336072295904
Core	54	HEMGN	0.0035801311023533344
Core	55	GBP1	0.0035395824816077948
Core	56	UBXN2B	0.003524404251947999
Core	57	AC025423.4	0.003488956019282341
Core	58	ZYX	0.0034472874831408262
Core	59	NCF4	0.0033847084268927574
Core	60	ATG16L2	0.0033828625455498695
Core	61	ANKRD22	0.003371080383658409
Core	62	NEFL	0.003364518051967025
Core	63	PRKCB	0.0033579207956790924
Core	64	GEM	0.003337870817631483
Core	65	DOCK11	0.003283778438344598
Core	66	HIST1H2BC	0.003271168563514948
Core	67	MVP	0.003249543718993664
Core	68	PLPPR2	0.0032475676853209734
Core	69	MAPK14	0.0032312441617250443
Core	70	TMEM131L	0.0031936890445649624
Core	71	NTAN1	0.0031925486400723457
Core	72	CLEC4E	0.003186980029568076
Core	73	SMAP2	0.0031743862200528383
Core	74	IL2RG	0.0031618501525372267
Core	75	MMRN2	0.0031573802698403597
Core	76	PSMB3	0.0031508379615843296
Core	77	LILRA1	0.003103160299360752
Core	78	PLAUR	0.0030815007630735636
Core	79	AC007032.1	0.0030783996917307377
Core	80	HSPA6	0.003073696047067642
Core	81	HPSE	0.00303087942302227
Core	82	SLC25A11	0.0030297411140054464
