patient_id,gene,expression_log2tpm,zone
PAT_0000,S100A8,7.218788733591297,Infiltrating Tumor
PAT_0000,S100A11,8.034360042856235,Infiltrating Tumor
PAT_0000,LST1,5.891984817629499,Infiltrating Tumor
PAT_0000,ZNF106,7.5052993468380365,Infiltrating Tumor
PAT_0001,S100A8,6.542454037571451,Infiltrating Tumor
PAT_0001,S100A11,5.032320368092313,Infiltrating Tumor
PAT_0001,LST1,6.5420934082626205,Infiltrating Tumor
PAT_0001,ZNF106,8.307054849698954,Infiltrating Tumor
PAT_0002,S100A8,5.946260941335073,Infiltrating Tumor
PAT_0002,S100A11,8.346965483721009,Infiltrating Tumor
PAT_0002,LST1,2.0703823438653837,Infiltrating Tumor
PAT_0002,ZNF106,7.232853756562836,Infiltrating Tumor
PAT_0003,S100A8,6.130570602357257,Infiltrating Tumor
PAT_0003,S100A11,5.551488974301199,Infiltrating Tumor
PAT_0003,LST1,6.137641164803253,Infiltrating Tumor
PAT_0003,ZNF106,3.0186466280986606,Infiltrating Tumor
PAT_0004,S100A8,5.670492168243732,Infiltrating Tumor
PAT_0004,S100A11,6.53566885726762,Infiltrating Tumor
PAT_0004,LST1,8.216841067112274,Infiltrating Tumor
PAT_0004,ZNF106,5.222594672589529,Infiltrating Tumor
PAT_0005,S100A8,4.787259595660219,Infiltrating Tumor
PAT_0005,S100A11,5.247364434623195,Infiltrating Tumor
PAT_0005,LST1,7.373103176553111,Infiltrating Tumor
PAT_0005,ZNF106,6.493126664489527,Infiltrating Tumor
PAT_0006,S100A8,5.205359694349442,Infiltrating Tumor
PAT_0006,S100A11,6.769901149670034,Infiltrating Tumor
PAT_0006,LST1,6.14561632402206,Infiltrating Tumor
PAT_0006,ZNF106,7.452967485799334,Infiltrating Tumor
PAT_0007,S100A8,4.946920359183972,Infiltrating Tumor
PAT_0007,S100A11,5.508506780103348,Infiltrating Tumor
PAT_0007,LST1,5.411837770301764,Infiltrating Tumor
PAT_0007,ZNF106,3.804727577801822,Infiltrating Tumor
