patient_id,gene,expression_log2tpm,zone
PAT_0000,S100A8,6.745071229516849,Leading Edge
PAT_0000,S100A11,5.792603548243223,Leading Edge
PAT_0000,LST1,6.971532807151039,Leading Edge
PAT_0000,ZNF106,8.284544784612038,Leading Edge
PAT_0001,S100A8,5.648769937914996,Leading Edge
PAT_0001,S100A11,5.648794564576229,Leading Edge
PAT_0001,LST1,8.368819223261088,Leading Edge
PAT_0001,ZNF106,7.151152093729364,Leading Edge
PAT_0002,S100A8,5.295788421097572,Leading Edge
PAT_0002,S100A11,6.8138400653789475,Leading Edge
PAT_0002,LST1,5.304873460781307,Leading Edge
PAT_0002,ZNF106,5.301405369644614,Leading Edge
PAT_0003,S100A8,6.362943407349051,Leading Edge
PAT_0003,S100A11,3.1300796330133034,Leading Edge
PAT_0003,LST1,3.4126232512304506,Leading Edge
PAT_0003,ZNF106,5.1565687061385415,Leading Edge
PAT_0004,S100A8,4.480753319498364,Leading Edge
PAT_0004,S100A11,6.471370998892911,Leading Edge
PAT_0004,LST1,4.637963886718183,Leading Edge
PAT_0004,ZNF106,3.881544447997063,Leading Edge
PAT_0005,S100A8,8.19847315338233,Leading Edge
PAT_0005,S100A11,5.661335549270197,Leading Edge
PAT_0005,LST1,6.101292307031886,Leading Edge
PAT_0005,ZNF106,3.8628777206798146,Leading Edge
PAT_0006,S100A8,5.183425913212226,Leading Edge
PAT_0006,S100A11,6.166383884564799,Leading Edge
PAT_0006,LST1,4.273509633866546,Leading Edge
PAT_0006,ZNF106,6.563547027518508,Leading Edge
PAT_0007,S100A8,5.099041965121793,Leading Edge
PAT_0007,S100A11,5.562459375310085,Leading Edge
PAT_0007,LST1,5.097440081655905,Leading Edge
PAT_0007,ZNF106,8.778417276763406,Leading Edge
