rank	gene	collapse_score
1	TMLHE	0.040798
2	MT-CO2	0.028233
3	THBD	0.011783
4	ARHGAP30	0.011040
5	SYF2	0.011001
6	CCL3L1	0.010853
7	S100A12	0.010734
8	MMP19	0.010706
9	LSM10	0.010296
10	IRF1	0.009735
11	MT-CO3	0.009676
12	ACSS2	0.009005
13	PACSIN2	0.008918
14	S100A8	0.008649
15	AC010186.3	0.008540
16	ZNF408	0.008491
17	CCL18	0.008477
18	AC015912.3	0.007769
19	ABTB1	0.007751
20	TBX6	0.007156
21	STIMATE	0.007113
22	GRIN2C	0.006720
23	C10orf55	0.006662
24	MINDY1	0.006359
25	CD177	0.006321
26	KIF5A	0.005915
27	TXN	0.005793
28	GPC2	0.005670
29	LMTK2	0.005271
30	COL1A1	0.005064
31	MYOZ2	0.005017
32	TBC1D8	0.004911
33	PGGHG	0.004886
34	ST20-AS1	0.004594
35	AL390957.1	0.004444
36	MMP2-AS1	0.004401
37	CCDC88C	0.004044
38	S100A11	0.003971
39	PITPNM1	0.003940
40	KMT2E-AS1	0.003854
41	CDKN2D	0.003706
42	PPP1CB	0.003669
43	NME8	0.003632
44	RNF24	0.003547
45	ZNF419	0.003490
46	STAT5A	0.003419
47	ASF1B	0.003414
48	S100A6	0.003374
49	MT-ATP6	0.003340
50	ABHD4	0.003315
51	MT3	0.003121
52	LATS2	0.003119
53	CDK5RAP2	0.003086
54	MXD3	0.003061
55	AP000919.2	0.003058
56	SLC19A1	0.003034
57	PCBP1-AS1	0.003027
58	KATNBL1	0.003001
59	CA4	0.002931
60	AC009950.1	0.002886
61	LRFN1	0.002830
62	FERMT1	0.002738
63	AC096667.1	0.002733
64	AL138895.1	0.002728
65	APOL1	0.002646
66	EXOC3L1	0.002623
67	MCEMP1	0.002576
68	BCL2A1	0.002564
69	ZNF106	0.002554
70	PEX11G	0.002482
71	DUSP23	0.002473
72	RAC2	0.002437
73	ASPRV1	0.002408
74	ASB8	0.002364
75	CXCL14	0.002301
76	DPP4	0.002293
77	JAK3	0.002286
78	ZNF44	0.002279
79	ANAPC15	0.002264
80	NIBAN1	0.002203
81	DAPK2	0.002152
82	AL031846.2	0.002134
83	HPGD	0.002125
84	AKIRIN1	0.002057
85	AP002449.1	0.002018
86	TRIM74	0.001958
87	AC104695.3	0.001934
88	PGM1	0.001899
89	PIK3CD	0.001895
90	RNF135	0.001869
91	STYXL1	0.001828
92	FAM126B	0.001815
93	AC011228.2	0.001805
94	RAB1B	0.001795
95	VIM-AS1	0.001744
96	PRSS3	0.001674
97	DEDD2	0.001666
98	ATP1B2	0.001575
99	SP1	0.001511
100	NDC80	0.001507
101	LPP-AS2	0.001417
102	H3F3A	0.001401
103	AC103724.3	0.001400
104	HAS1	0.001366
105	SCO2	0.001348
106	TREM1	0.001332
107	AL035661.2	0.001312
108	PPP1R11	0.001309
109	HIST1H2BC	0.001295
110	CARD8-AS1	0.001249
111	OAZ2	0.001249
112	CPB2-AS1	0.001220
113	PACS1	0.001184
114	EFCAB5	0.001136
115	MYCBP	0.001133
116	B3GALT4	0.001097
117	AC136475.1	0.001051
118	EHBP1L1	0.001024
119	SLC4A4	0.001003
120	BCHE	0.000960
121	DCAF11	0.000940
122	LYPLA2	0.000890
123	FOXC1	0.000838
124	POLR3GL	0.000825
125	NLRC5	0.000804
126	AC025423.4	0.000767
127	UBXN2B	0.000766
128	GALNT7	0.000736
129	OSM	0.000731
130	GAP43	0.000730
131	ZBP1	0.000729
132	AL606834.1	0.000721
133	AC011445.2	0.000640
134	THSD4	0.000612
135	ACOX1	0.000598
136	HBD	0.000473
137	TMEM71	0.000439
138	LAMB3	0.000428
139	ESR2	0.000386
140	SEMA4B	0.000372
141	PAM16	0.000335
142	MGP	0.000259
143	SCRT2	0.000137
144	GNG10	0.000099
145	SP3	0.000031
146	LST1	0.000000
147	HSPA1A	0.000000
148	AL391335.1	0.000000
149	ACAP2	0.000000
150	TNFRSF10C	0.000000
151	SDE2	0.000000
152	AL356417.3	0.000000
153	IRF7	0.000000
154	KCNA1	0.000000
155	AC017083.1	0.000000
156	AC099489.1	0.000000
157	INAFM1	0.000000
158	LRRK2	0.000000
159	ROBO2	0.000000
160	LTB	0.000000
161	TNXB	0.000000
162	DGKD	0.000000
163	PTK2B	0.000000
164	MDM1	0.000000
165	NKRF	0.000000
166	IFI27	0.000000
167	EPB41L4B	0.000000
168	AC093673.1	0.000000
169	CHAC1	0.000000
170	NPPA	0.000000
171	CFP	0.000000
172	TNFRSF1B	0.000000
173	CCN1	0.000000
174	CD24	0.000000
175	DAP	0.000000
176	AC090559.1	0.000000
177	TMEM221	0.000000
178	IGF2BP2	0.000000
179	CCDC78	0.000000
180	KDM2A	0.000000
181	ARID3B	0.000000
182	PAPSS2	0.000000
183	NTAN1	0.000000
184	OLFM2	0.000000
185	CD1D	0.000000
186	CLSTN3	0.000000
187	RORB	0.000000
188	EVI2B	0.000000
189	ZNF674	0.000000
190	MAK	0.000000
191	SH3BGRL3	0.000000
192	AC020910.2	0.000000
193	TCAP	0.000000
194	TLR8	0.000000
195	RMI1	0.000000
196	CD69	0.000000
197	HCAR3	0.000000
198	AC083862.3	0.000000
199	PHKA2	0.000000
200	RYR3	0.000000
